Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
19776,24.71,20.31,19.82,19.34,19.34
19815,24.71,20.31,19.82,19.82,19.34
19855,24.71,20.31,19.82,19.34,19.34
19894,24.71,20.31,19.34,19.34,19.82
19934,24.71,20.31,19.82,19.82,19.82
19973,24.71,20.31,19.82,19.82,19.82
20013,24.71,20.31,19.34,19.34,19.82
20052,24.71,20.80,19.82,19.82,19.82
20091,24.71,20.31,19.82,19.34,19.34
20131,24.71,20.31,19.34,19.34,19.34
20170,24.71,20.31,19.82,19.82,19.82
20210,24.71,20.31,19.34,19.34,19.82
20250,24.71,20.31,19.82,19.34,19.34
20289,24.71,20.31,19.82,19.34,20.31
20329,24.71,20.31,19.34,19.34,19.34
20368,24.71,20.31,19.82,19.34,19.82
20408,24.71,20.31,19.82,19.34,19.34
20448,24.71,20.31,19.34,19.34,19.34
20487,24.71,20.31,19.82,19.82,19.82
20527,24.71,20.31,19.82,19.82,19.82
20566,24.71,20.31,19.82,19.34,19.34
20605,24.71,20.31,19.34,19.34,19.82
20645,24.71,20.31,19.82,19.82,20.31
20684,24.71,20.31,19.82,19.34,19.82
20724,24.71,20.31,19.82,19.34,19.82
20763,24.71,20.31,19.82,19.82,19.82
20803,24.71,20.31,19.34,19.34,19.34
20843,24.71,20.31,19.82,19.34,19.34
20882,25.20,20.31,19.82,19.34,19.82
20922,24.71,20.31,19.82,19.34,19.82
20961,24.71,20.31,19.82,19.34,19.82
21001,24.71,20.31,19.82,19.34,19.82
21041,24.71,20.31,19.34,19.34,19.82
21080,24.71,20.80,19.34,19.34,19.82
21120,24.71,20.31,19.82,19.34,19.82
21158,24.71,20.31,19.82,19.34,19.82
21198,24.71,20.31,19.82,19.82,19.82
21237,24.71,20.31,19.82,19.34,19.82
21277,24.71,20.31,19.82,19.34,19.82
21317,25.20,20.31,19.82,19.34,19.34
21356,24.71,20.31,19.82,19.34,19.82
21396,24.71,20.31,19.82,19.34,20.31
21435,24.71,20.31,19.82,19.34,19.82
21475,24.71,20.31,19.82,19.82,19.82
21515,24.71,20.31,19.82,19.34,19.34
21554,24.71,20.31,19.82,19.34,19.82
21594,24.71,20.31,19.34,19.34,19.34
21633,24.71,20.31,19.34,19.34,19.82
21672,24.71,20.31,19.82,19.34,19.34
21712,25.20,20.31,19.82,19.34,19.34
21751,25.20,20.31,19.82,19.34,19.82
21791,25.20,20.31,19.82,19.82,19.34
21830,24.71,20.31,19.82,19.34,19.82
21870,24.71,20.31,19.82,19.34,19.82
21910,24.71,20.31,19.82,19.34,19.82
21949,24.71,20.31,19.82,19.82,19.34
21989,24.71,20.31,19.82,19.34,19.34
22028,25.20,20.31,19.34,19.34,19.82
